address,date,discount,floor_elevator,link,price,rooms,sqft_m2
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90831127/,2350.0,2,91.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90791032/,3500.0,3,144.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta interior con ascensor,http://idealista.com/inmueble/90680066/,1100.0,3,90.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90558372/,2250.0,3,103.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/89372470/,6800.0,2,130.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90522534/,1900.0,2,100.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90379730/,2100.0,2,134.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior,http://idealista.com/inmueble/90379720/,1950.0,3,157.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90345437/,2000.0,2,85.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90304055/,2000.0,3,120.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/81813144/,2050.0,5,170.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/89714404/,2200.0,3,138.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/89372469/,8000.0,3,175.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/83654670/,2700.0,3,180.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/89015278/,2950.0,2,100.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/88983086/,1600.0,3,120.0
"Piso en ronda de la Universitat, 16, La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/88842452/,1290.0,4,125.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/88420825/,1900.0,2,70.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/88408005/,7000.0,2,130.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/88376447/,11500.0,4,265.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,interior con ascensor,http://idealista.com/inmueble/81679657/,4500.0,2,222.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/88103578/,3000.0,2,85.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/86291297/,5500.0,3,210.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/87720670/,2300.0,2,70.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/29399186/,1245.0,1,53.0
"Piso en Bailen, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/83291483/,1260.0,1,52.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/84808558/,1800.0,2,66.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/31651065/,2050.0,2,66.0
"Piso en calle de Valencia, 347, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/91368672/,1200.0,2,75.0
"Piso en calle de Valencia, 347, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/91368419/,1090.0,1,50.0
"Piso en calle Corsega, 293, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/29249614/,1300.0,2,76.0
"Piso en calle de Pelai, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/85728862/,1350.0,1,60.0
"Piso en calle de Pau Claris, 117, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/87849545/,1800.0,2,70.0
"Piso en paseo de Sant Joan, La Dreta de l'Eixample, Barcelona",2020-10-20,0,17 oct,http://idealista.com/inmueble/91425148/,1280.0,4,110.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 oct,http://idealista.com/inmueble/91392935/,1400.0,3,80.0
"Estudio en avenida Diagonal, La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 oct,http://idealista.com/inmueble/91373275/,675.0,,31.0
"Piso en paseo de Gracia, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/91366132/,1850.0,2,100.0
"Piso en calle del Bruc, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/91363697/,2310.0,2,65.0
"Piso en calle Aragon, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/90508992/,900.0,1,40.0
"Piso en calle de Pau Claris, 99, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/91328177/,1800.0,2,70.0
"Piso en calle Mallorca, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/91302283/,1800.0,4,135.0
"Piso en rambla Catalunya, 103, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/87954376/,1650.0,2,70.0
"Piso en calle de Balmes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/91038985/,2200.0,3,133.0
"Piso en paseo de Sant Joan, La Dreta de l'Eixample, Barcelona",2020-10-20,0,9ª planta exterior con ascensor,http://idealista.com/inmueble/90984447/,1500.0,4,96.0
"Piso en plaza de Tetuan, La Dreta de l'Eixample, Barcelona",2020-10-20,0,Entreplanta exterior con ascensor,http://idealista.com/inmueble/90969790/,1900.0,2,102.0
"Piso en calle del Consell de Cent, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90968088/,1690.0,2,134.0
"Piso en ronda de la Universitat, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/90891075/,1400.0,3,116.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/90888809/,1800.0,2,80.0
"Piso en ronda de la Universitat, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/90886249/,2200.0,3,120.0
"Piso en paseo de Sant Joan, 143, La Dreta de l'Eixample, Barcelona",2020-10-20,0,9ª planta exterior con ascensor,http://idealista.com/inmueble/90875463/,1500.0,4,100.0
"Piso en rambla de Catalunya, 42, La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/90835882/,1400.0,2,87.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta  sin ascensor,http://idealista.com/inmueble/85250690/,1944.0,2,100.0
"Piso en calle de Pelai, La Dreta de l'Eixample, Barcelona",2020-10-20,0,exterior con ascensor,http://idealista.com/inmueble/90824978/,2000.0,2,75.0
"Piso en calle de Pau Claris, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/90824976/,1800.0,2,90.0
"Piso en calle de Roger de Flor, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta  con ascensor,http://idealista.com/inmueble/40446780/,1195.0,2,75.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta  con ascensor,http://idealista.com/inmueble/90072344/,1400.0,3,82.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/90068365/,1300.0,3,87.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta  con ascensor,http://idealista.com/inmueble/90072344/,1400.0,3,82.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/90068365/,1300.0,3,87.0
"Piso en consejo de ciento, 306, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/89939047/,1800.0,2,136.0
"Piso en gran via de les corts catalanes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,7ª planta interior con ascensor,http://idealista.com/inmueble/39946904/,1095.0,1,55.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/89412359/,1800.0,1,65.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta  sin ascensor,http://idealista.com/inmueble/85250404/,1751.0,2,70.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta  sin ascensor,http://idealista.com/inmueble/87178499/,1580.0,1,60.0
"Piso en calle de Girona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta  con ascensor,http://idealista.com/inmueble/81834048/,1095.0,2,70.0
