address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
"Carrer de Viladomat, La Nova Esquerra de l'Eixample",2,2020-10-22,60 €,1,/es/inmobiliaria-inmofinderscom/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751882218,1490,INMOFINDERS.COM,4,120
"Carrer de Valladolid, Sants",2,2020-10-22,250 €,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,950,APROPERTIES REAL ESTATE Nº Aicat 6388,2,61
"Cera, El Raval",1,2020-10-22,100 €,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,900,APROPERTIES REAL ESTATE Nº Aicat 6388,2,58
"Balmes , Dreta de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2500,APROPERTIES REAL ESTATE Nº Aicat 6388,3,112
"Pau Claris, Barri Gòtic",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2300,APROPERTIES REAL ESTATE Nº Aicat 6388,3,85
"Carrer de Jacinto Benavente, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3600,APROPERTIES REAL ESTATE Nº Aicat 6388,3,140
"Gran Via de Les Corts Catalanes, Fort Pienc",2,2020-10-22,300 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1450,APROPERTIES REAL ESTATE Nº Aicat 6388,4,109
"Carrer de Provença, Dreta de l'Eixample",1,2020-10-22,150 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1550,APROPERTIES REAL ESTATE Nº Aicat 6388,2,109
"Bruc , Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2050,APROPERTIES REAL ESTATE Nº Aicat 6388,2,92
"Carrer de Ferran Agulló, Sant Gervasi- Galvany",4,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3600,APROPERTIES REAL ESTATE Nº Aicat 6388,5,240
"Carrer de Balmes, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2200,APROPERTIES REAL ESTATE Nº Aicat 6388,3,94
"Ausias March, Dreta de l'Eixample",4,2020-10-22,500 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,9500,APROPERTIES REAL ESTATE Nº Aicat 6388,3,190
"Hercegovina, Sant Gervasi- Galvany",2,2020-10-22,350 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1450,APROPERTIES REAL ESTATE Nº Aicat 6388,3,102
"Avenida Diagonal, Sagrada Família",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1950,APROPERTIES REAL ESTATE Nº Aicat 6388,3,90
"Aribau, Sant Gervasi- Galvany",6,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,8500,APROPERTIES REAL ESTATE Nº Aicat 6388,5,340
"Sant Miquel , La Barceloneta",1,2020-10-22,,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1050,APROPERTIES REAL ESTATE Nº Aicat 6388,1,50
"Carrer de València, Dreta de l'Eixample",3,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2200,APROPERTIES REAL ESTATE Nº Aicat 6388,2,150
