address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
El Putget i el Farró,2,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1750,SH BARCELONA,2,66
Vallcarca i els Penitents,2,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1395,SH BARCELONA,3,75
El Poble Sec - Parc de Montjuïc,1,2020-10-22,,0,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,750,SH BARCELONA,1,37
El Raval,1,2020-10-22,,0,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,775,SH BARCELONA,1,43
Sagrada Família,1,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,845,SH BARCELONA,0,30
Sagrada Família,1,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1200,SH BARCELONA,1,40
Sant Gervasi- Galvany,4,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1500,SH BARCELONA,3,135
Barri de les Corts,1,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1050,SH BARCELONA,2,65
"Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,,0,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1095,SH BARCELONA,2,33
El Raval,2,2020-10-22,,0,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,950,SH BARCELONA,1,42
L'Antiga Esquerra de l'Eixample,2,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,2000,SH BARCELONA,2,58
"Carrer de Sant Antoni Maria Claret, Sagrada Família",1,2020-10-22,,1,/es/inmobiliaria-gaudi-sant-pau-slu/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763772327,750,GAUDI-SANT PAU SLU,1,30
"Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,,0,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,795,SH BARCELONA,1,36
Vila de Gràcia,1,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,935,SH BARCELONA,1,45
La Salut,2,2020-10-22,,1,/es/inmobiliaria-sh-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752325093,1450,SH BARCELONA,4,170
Barri Gòtic,2,2020-10-22,,1,/es/inmobiliaria-eix-habitat-real-estate/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756356880,1090,EIX HABITAT REAL ESTATE,3,210
Barri Gòtic,2,2020-10-22,,1,/es/inmobiliaria-eix-habitat-real-estate/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756356880,980,EIX HABITAT REAL ESTATE,2,91
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1100,CAPOLRA,1,48
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1300,CAPOLRA,1,52
"Calle de Monjo, 22, La Barceloneta",1,2020-10-22,,0,/es/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765630384,875,,2,50
"Rambla del Brasil, Sants",1,2020-10-22,,1,/es/inmobiliaria-elite-house/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202761366115,950,ELITE HOUSE,2,65
"Industria, El Camp d'en Grassot i Gràcia Nova",2,2020-10-22,200 €,1,/es/inmobiliaria-athimac-negocios-inmobiliarios/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751024532,900,ATHIMAC NEGOCIOS INMOBILIARIOS,3,85
"Gonzalez Tablas, Pedralbes",3,2020-10-22,50 €,1,/es/inmobiliaria-athimac-negocios-inmobiliarios/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751024532,1850,ATHIMAC NEGOCIOS INMOBILIARIOS,3,140
"Craywinckel, El Putget i el Farró",2,2020-10-22,150 €,1,/es/inmobiliaria-athimac-negocios-inmobiliarios/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751024532,1100,ATHIMAC NEGOCIOS INMOBILIARIOS,4,100
"Carrer Roger de Flor, Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-cuatro-casas-inmobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202760742834,980,CUATRO CASAS INMOBILIARIA,2,56
"Carrer Ribes, Fort Pienc",1,2020-10-22,,1,/es/inmobiliaria-cuatro-casas-inmobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202760742834,850,CUATRO CASAS INMOBILIARIA,1,53
"Carrer Bruc, Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-cuatro-casas-inmobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202760742834,1100,CUATRO CASAS INMOBILIARIA,3,98
"Carrer Marina, Fort Pienc",2,2020-10-22,,1,/es/inmobiliaria-cuatro-casas-inmobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202760742834,1200,CUATRO CASAS INMOBILIARIA,3,80
"Carrer Roger de Flor, Fort Pienc",2,2020-10-22,,1,/es/inmobiliaria-cuatro-casas-inmobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202760742834,1100,CUATRO CASAS INMOBILIARIA,3,102
Pedralbes,3,2020-10-22,450 €,1,/es/inmobiliaria-monika-rusch/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753807547,2950,MONIKA RÜSCH,3,175
"Mare de Deu de Nuria, Sarrià",2,2020-10-22,90 €,1,/es/inmobiliaria-fincas-lluria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752214161,1190,FINCAS LLURIA,2,75
Sant Gervasi- Galvany,3,2020-10-22,,1,/es/inmobiliaria-fincas-lluria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752214161,1500,FINCAS LLURIA,4,100
"Carrer de L'argenteria, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,,1,/es/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765442173,1475,,1,50
"Ronda del General Mitre, Les Tres Torres",4,2020-10-22,,0,/es/inmobiliaria-dominguez/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750486602,2600,DOMINGUEZ,5,210
"Bruc , Barri Gòtic",5,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,5900,APROPERTIES REAL ESTATE Nº Aicat 6388,5,250
"Passeig de Gràcia, Dreta de l'Eixample",2,2020-10-22,200 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1750,APROPERTIES REAL ESTATE Nº Aicat 6388,2,60
"Pau Casals, Barri Gòtic",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1950,APROPERTIES REAL ESTATE Nº Aicat 6388,3,132
"Via Laietana, Sant Pere, Sta. Caterina i la Ribera",2,2020-10-22,300 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2600,APROPERTIES REAL ESTATE Nº Aicat 6388,3,165
"Carrer de la Providència, El Camp d'en Grassot i Gràcia Nova",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1876,APROPERTIES REAL ESTATE Nº Aicat 6388,3,90
"Valldonzella, El Raval",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1100,APROPERTIES REAL ESTATE Nº Aicat 6388,2,69
"Carrer del Francolí, El Putget i el Farró",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1350,APROPERTIES REAL ESTATE Nº Aicat 6388,2,75
"Passeig Sant Joan , Dreta de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2900,APROPERTIES REAL ESTATE Nº Aicat 6388,3,90
"Plaça de Tetuan, Fort Pienc",1,2020-10-22,50 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1450,APROPERTIES REAL ESTATE Nº Aicat 6388,3,109
"Carrer de la Indústria, El Camp d'en Grassot i Gràcia Nova",4,2020-10-22,200 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1250,APROPERTIES REAL ESTATE Nº Aicat 6388,3,90
"Carrer de Lucà, El Putget i el Farró",1,2020-10-22,200 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1150,APROPERTIES REAL ESTATE Nº Aicat 6388,1,45
"Mallorca, L'Antiga Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1600,APROPERTIES REAL ESTATE Nº Aicat 6388,2,75
"Via Augusta, Sant Gervasi- Galvany",1,2020-10-22,150 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1750,APROPERTIES REAL ESTATE Nº Aicat 6388,3,148
"Carrer de Lucà, El Putget i el Farró",1,2020-10-22,200 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1100,APROPERTIES REAL ESTATE Nº Aicat 6388,1,40
"Selva de Mar, Barri Gòtic",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1800,APROPERTIES REAL ESTATE Nº Aicat 6388,3,110
"Carrer del Rabí Rubén, La Font de la Guatlla",1,2020-10-22,,0,/es/inmobiliaria-finques-ferrera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756068750,650,Finques Ferrera,1,55
"Carrer de Fastenrath, La Teixonera",2,2020-10-22,,1,/es/inmobiliaria-finques-ferrera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756068750,975,Finques Ferrera,2,70
"Carrer de Fastenrath, La Teixonera",1,2020-10-22,,0,/es/inmobiliaria-finques-ferrera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756068750,900,Finques Ferrera,2,65
"Carrer de L'aurora, El Raval",1,2020-10-22,,0,/es/inmobiliaria-finques-ferrera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756068750,650,Finques Ferrera,1,40
"Europa, Barri de les Corts",2,2020-10-22,,1,/es/inmobiliaria-fincas-garvi/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752708606,1200,FINCAS GARVI,3,68
"Carrer de Sant Pere D'abanto, Hostafrancs",1,2020-10-22,,0,/es/inmobiliaria-dominguez/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750486602,990,DOMINGUEZ,2,65
"Carrer del Dr. Fleming, Les Tres Torres",2,2020-10-22,300 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2200,APROPERTIES REAL ESTATE Nº Aicat 6388,3,128
"Carrer del Comte D'urgell, L'Antiga Esquerra de l'Eixample",1,2020-10-22,25 €,0,/es/inmobiliaria-finques-ferrera/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756068750,1275,Finques Ferrera,4,90
"Selva de Mar, El Besós i el Maresme",2,2020-10-22,250 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1950,APROPERTIES REAL ESTATE Nº Aicat 6388,2,90
"Av. de Francesc Cambó, Sant Pere, Sta. Caterina i la Ribera",2,2020-10-22,250 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1300,APROPERTIES REAL ESTATE Nº Aicat 6388,3,85
Provençals del Poblenou,1,2020-10-22,,0,/es/inmobiliaria-area-casa/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752570036,1200,AREA CASA,1,72
"Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,,0,/es/inmobiliaria-area-casa/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752570036,1200,AREA CASA,1,40
"Marques de Setmenat, Barri de les Corts",2,2020-10-22,150 €,1,/es/inmobiliaria-bergua/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751917637,1050,BERGUA,3,78
"Carrer de Bretón de Los Herreros, Vila de Gràcia",1,2020-10-22,100 €,1,/es/inmobiliaria-inmoservice-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202754494789,1150,INMOSERVICE BARCELONA,4,70
"Carrer D'alexandre de Torrelles, 45, Can Baró",2,2020-10-22,50 €,0,/es/inmobiliaria-abcflat/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756850496,1200,ABCFLAT,3,105
Sant Antoni,2,2020-10-22,200 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1400,ENGEL & VOELKERS,3,80
Dreta de l'Eixample,2,2020-10-22,400 €,1,/es/inmobiliaria-kasapisos/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751722064,1000,KASAPISOS,2,80
Sarrià,5,2020-10-22,1.000 €,0,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,7000,LUCAS FOX,4,460
Sant Gervasi- Galvany,3,2020-10-22,500 €,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,7500,LUCAS FOX,4,300
Dreta de l'Eixample,3,2020-10-22,,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,5500,ENGEL & VOELKERS,3,200
Barri de les Corts,1,2020-10-22,100 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,900,ENGEL & VOELKERS,1,29
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1100,CAPOLRA,1,50
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1050,CAPOLRA,1,50
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1200,CAPOLRA,1,45
"Carrer Vidre, 10, Barri Gòtic",1,2020-10-22,,1,/es/inmobiliaria-caseuro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765599088,1095,CASEURO,2,90
"Carrer de Tamarit, 104, Sant Antoni",1,2020-10-22,,1,/es/inmobiliaria-fincas-fernandez/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751970586,950,FINCAS FERNÁNDEZ,1,72
"Carrer de Ramón y Cajal, Vila de Gràcia",1,2020-10-22,,0,/es/inmobiliaria-stay-unique-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765333269,1050,STAY UNIQUE S.L.,1,50
"Carrer Marques de Sentmenat, 63, Barri de les Corts",1,2020-10-22,,1,/es/inmobiliaria-caseuro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765599088,1200,CASEURO,4,90
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1450,CAPOLRA,2,45
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1100,CAPOLRA,1,49
"Carrer Dels Banys Vells, 10, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,149 €,0,/es/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765624898,1150,,2,90
"Carrer D'en Grassot, El Camp d'en Grassot i Gràcia Nova",1,2020-10-22,,1,/es/inmobiliaria-interhome-srl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758748867,1150,INTERHOME SRL,1,45
"Carrer de Pi I Margall, El Camp d'en Grassot i Gràcia Nova",2,2020-10-22,,1,/es/inmobiliaria-solfar/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758368696,1000,SOLFAR,3,65
"Carrer de Girona, Dreta de l'Eixample",1,2020-10-22,71 €,1,/es/inmobiliaria-marti-pons-associats/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751914522,895,MARTI. PONS & ASSOCIATS,2,55
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1500,CAPOLRA,2,51
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1150,CAPOLRA,1,50
"Travessera de Les Corts, Barri de les Corts",1,2020-10-22,,1,/es/inmobiliaria-marti-pons-associats/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751914522,1245,MARTI. PONS & ASSOCIATS,3,90
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1150,CAPOLRA,1,50
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1150,CAPOLRA,1,50
"Sant Eusebi, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1400,CAPOLRA,1,51
Dreta de l'Eixample,2,2020-10-22,,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1950,ENGEL & VOELKERS,2,85
Vallvidrera - Tibidabo - Les Planes,4,2020-10-22,,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,18000,ENGEL & VOELKERS,6,840
"Pujades, El Poblenou",1,2020-10-22,65 €,0,/es/inmobiliaria-don-casa/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=943003011417,735,DON CASA,2,56
"Carrer de la Mare de Déu del Remei, El Poble Sec - Parc de Montjuïc",1,2020-10-22,245 €,0,/es/inmobiliaria-smart-move/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202756755767,1150,SMART MOVE,2,65
Navas,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,1572,NÚÑEZ I NAVARRO,2,68
Sant Gervasi i la Bonanova,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,3075,NÚÑEZ I NAVARRO,3,119
Barri Gòtic,2,2020-10-22,117 €,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1483,ENGEL & VOELKERS,3,127
Dreta de l'Eixample,2,2020-10-22,150 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1850,ENGEL & VOELKERS,3,129
Sarrià,6,2020-10-22,,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,10000,ENGEL & VOELKERS,6,572
El Raval,1,2020-10-22,200 €,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1200,ENGEL & VOELKERS,2,52
La Marina del Port,1,2020-10-22,225 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1375,ENGEL & VOELKERS,3,87
Sant Gervasi i la Bonanova,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,4318,NÚÑEZ I NAVARRO,4,164
El Poble Sec - Parc de Montjuïc,2,2020-10-22,200 €,0,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1600,ENGEL & VOELKERS,3,91
Dreta de l'Eixample,4,2020-10-22,400 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,2800,ENGEL & VOELKERS,4,225
Sant Gervasi- Galvany,3,2020-10-22,200 €,1,/es/inmobiliaria-living-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753827081,3800,LIVING BARCELONA,5,259
Sant Gervasi- Galvany,3,2020-10-22,550 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,2750,ENGEL & VOELKERS,5,274
Dreta de l'Eixample,5,2020-10-22,,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,5900,ENGEL & VOELKERS,6,250
Barri Gòtic,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,4091,NÚÑEZ I NAVARRO,2,75
"Cardenal Reig, La Maternitat i Sant Ramon",2,2020-10-22,210 €,1,/es/inmobiliaria-canar-inmobiliaria-y-negocios/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=943003008044,1520,CANAR INMOBILIARIA Y NEGOCIOS,4,133
"Sant Salvador, Vila de Gràcia",1,2020-10-22,475 €,1,/es/inmobiliaria-fincas-calvet-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752952516,925,"FINCAS CALVET, S.L.",2,105
"Ecuador, Sants",2,2020-10-22,120 €,1,/es/inmobiliaria-fincas-calvet-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752952516,1180,"FINCAS CALVET, S.L.",3,91
"Comtes de Bell·lloc, Sants",2,2020-10-22,105 €,1,/es/inmobiliaria-fincas-calvet-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752952516,895,"FINCAS CALVET, S.L.",4,99
"Carrer de la Física, La Marina del Port",2,2020-10-22,300 €,1,/es/inmobiliaria-golden-square-barcelona/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202757637681,950,GOLDEN SQUARE BARCELONA,3,92
"Pobla de Lillet, Barri de les Corts",2,2020-10-22,200 €,0,/es/inmobiliaria-vip-pisos/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751532564,1200,VIP PISOS,2,80
Vila de Gràcia,1,2020-10-22,150 €,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,1600,LUCAS FOX,2,59
El Raval,2,2020-10-22,500 €,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1200,ENGEL & VOELKERS,0,100
Sant Gervasi- Galvany,3,2020-10-22,320 €,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,3250,LUCAS FOX,4,237
Vila de Gràcia,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,1900,NÚÑEZ I NAVARRO,1,59
Dreta de l'Eixample,3,2020-10-22,,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,4000,LUCAS FOX,3,232
El Poblenou,2,2020-10-22,,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,1700,ENGEL & VOELKERS,2,98
"Rambla de Catalunya, Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-stay-unique-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765333269,1050,STAY UNIQUE S.L.,1,40
"Carrer Pescadors, 49, La Barceloneta",1,2020-10-22,,0,/es/inmobiliaria-caseuro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765599088,660,CASEURO,1,35
"Sant Eusebi, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-capolra/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202763524627,1150,CAPOLRA,1,50
Sant Gervasi i la Bonanova,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,4754,NÚÑEZ I NAVARRO,4,164
El Besós i el Maresme,2,2020-10-22,150 €,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,2250,LUCAS FOX,4,83
Dreta de l'Eixample,4,2020-10-22,,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,11500,LUCAS FOX,4,260
Barri Gòtic,2,2020-10-22,,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,1650,LUCAS FOX,2,86
Navas,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,1350,NÚÑEZ I NAVARRO,1,55
Vila de Gràcia,2,2020-10-22,100 €,1,/es/inmobiliaria-lucas-fox/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751825893,1600,LUCAS FOX,2,69
Barri de les Corts,3,2020-10-22,,1,/es/inmobiliaria-engel-voelkers/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202758116439,4000,ENGEL & VOELKERS,4,200
Sant Gervasi i la Bonanova,0,2020-10-22,,1,/es/inmobiliaria-nunez-i-navarro/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752272449,3342,NÚÑEZ I NAVARRO,3,119
