address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2
Sarrià - Sant Gervasi,6,House_Chalet,Flat,,2022-03-07,0,1,False,41.4164,/en/rental/home/barcelona-capital/air-conditioning-heating-parking-terrace-lift-swimming-pool-furnished-internet/155519373/d,2.110377,20000,MONIKA RÜSCH,9202753807547,10,620
"Carrer de Roger de Flor, Eixample",2,Apartment,Flat,,2022-03-07,0,0,False,41.39305,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/160245432/d,2.180389,11744,Homelike,9202762567099,3,80
"Avinguda Meridiana, Sant Andreu",1,Flat,Flat,1,2022-03-07,0,1,False,41.41913,/en/rental/home/barcelona-capital/air-conditioning-heating-communal-area-lift-swimming-pool-not-furnished/162751579/d,2.187245,1238,PUNTO HABITAT,943003066102,1,55
"Reina Amalia, Ciutat Vella",2,Flat,Flat,1,2022-03-07,0,1,False,41.37745,/en/rental/home/barcelona-capital/air-conditioning-lift-furnished/161792646/d,2.165937,1600,ALL4FLAT,9202762177806,2,80
"Carrer de Sancho de Ávila, Sant Martí",1,Apartment,Flat,,2022-03-07,0,0,False,41.39757,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/158112050/d,2.189038,3117,Homelike,9202762567099,1,45
"Sabateret, Ciutat Vella",1,Flat,Flat,3,2022-03-07,0,0,False,41.3858,/en/rental/home/barcelona-capital/heating-furnished/162685105/d,2.182345,1100,ALL4FLAT,9202762177806,1,50
"Carrer de la Unió, Ciutat Vella",1,Apartment,Flat,,2022-03-07,0,0,False,41.37962,/en/rental/home/barcelona-capital/heating-internet/162346529/d,2.173585,1230,Homelike,9202762567099,1,15
Eixample,2,Flat,Flat,,2022-03-07,0,1,False,41.39395,/en/rental/home/barcelona-capital/air-conditioning-heating-terrace-lift-furnished-television/162010551/d,2.177862,2195,SH Barcelona,9202752325093,3,98
"Agramunt, Sarrià - Sant Gervasi",2,Flat,Flat,3,2022-03-07,0,1,False,41.40955,/en/rental/home/barcelona-capital/air-conditioning-heating-parking-terrace-lift/162320122/d,2.14598,1162,Roca & Urue,9202766946685,3,80
"Alfonso XII, Sarrià - Sant Gervasi",1,Flat,Flat,1,2022-03-07,0,1,False,41.40149,/en/rental/home/barcelona-capital/air-conditioning-heating-lift-furnished/162795050/d,2.145967,990,Roca & Urue,9202766946685,1,45
"Carrer de Balmes, Sarrià - Sant Gervasi",1,Flat,Flat,1,2022-03-07,0,1,False,41.39953,/en/rental/home/barcelona-capital/air-conditioning-heating-lift-not-furnished/162800670/d,2.149673,2100,Cuatro Vientos Bcn,9202767565232,3,116
"Carrer del Duc de la Victòria, Ciutat Vella",2,Flat,Flat,2,2022-03-07,0,1,False,41.38434,/en/rental/home/barcelona-capital/heating-lift/162729274/d,2.173257,1410,INMOBILIARIA LUGANO,9202750519401,4,89
"Fontrodona, Sants - Montjuïc",1,Flat,Flat,2,2022-03-07,0,1,False,41.37319,/en/rental/home/barcelona-capital/air-conditioning-heating-box-room-lift-furnished/162820287/d,2.167029,1250,ALL4FLAT,9202762177806,2,50
Sarrià - Sant Gervasi,1,Flat,Flat,3,2022-03-07,0,0,False,41.39491,/en/rental/home/barcelona-capital/air-conditioning/162820234/d,2.143185,1300,AREA CASA,9202752570036,1,45
Sant Martí,2,Flat,Flat,,2022-03-07,0,1,False,41.41285,/en/rental/home/barcelona-capital/air-conditioning-heating-lift-furnished-television/162819852/d,2.190246,1850,SH Barcelona,9202752325093,3,86
"Carrer del Mar, Ciutat Vella",1,Flat,Flat,2,2022-03-07,0,1,False,41.37593,/en/rental/home/barcelona-capital/air-conditioning-heating-lift-furnished-pets-not-allowed-internet/162095301/d,2.189291,950,FINCAS GP,9202764393646,2,38
Sarrià - Sant Gervasi,3,Apartment,Flat,,2022-03-07,0,1,False,41.40215,/en/rental/home/barcelona-capital/air-conditioning-heating-terrace-lift-parking-not-furnished/162757818/d,2.131386,3300,Lucas Fox Barcelona,9202751825893,4,180
"De Cardedeu, Gràcia",1,Flat,Flat,3,2022-03-07,0,0,False,41.41532,/en/rental/home/barcelona-capital/terrace/162805499/d,2.145109,950,PIA,9202765555245,1,50
