address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2
"Carrer Jacinto Benavente, Sarrià - Sant Gervasi",4,Flat,Flat,,2022-01-08,0,1,False,41.39586,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor/160749729/d,2.135461,12000,MG BARCELONA,9202760817675,4,437
Eixample,1,Attic,Flat,1,2022-01-08,100,1,False,41.3777,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/161537409/d,2.146148,1800,ENGEL & VOELKERS,9202758116439,2,115
Ciutat Vella,1,Flat,Flat,,2022-01-08,0,0,False,41.38479,/es/alquiler/vivienda/barcelona-capital/el-raval/161674630/d,2.168654,690,Forcadell Res.Lloguers,9202753948202,1,35
Eixample,1,Flat,Flat,,2022-01-08,45,1,False,41.38233,/es/alquiler/vivienda/barcelona-capital/ascensor/161684678/d,2.160939,795,Forcadell Res.Lloguers,9202753948202,1,41
"Carrer de Sardenya, Eixample",1,Flat,Flat,3,2022-01-08,0,1,False,41.40204,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/162186186/d,2.174906,1100,APROPERTIES REAL ESTATE Nº Aicat 6388,9202753825457,1,81
Les Corts,5,Flat,Flat,,2022-01-08,800,1,False,41.39215,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-terrassa-ascensor-moblat/157259752/d,2.112943,3700,MONIKA RÜSCH,9202753807547,5,298
"Lluisa Vidal, Sant Martí",1,SemidetachedHouse,Flat,,2022-01-08,50,0,False,41.41251,/ca/lloguer/vivenda/barcelona-capital/calefaccio-terrassa-moblat/162138130/d,2.178364,1200,ALL4FLAT,9202762177806,2,60
Ciutat Vella,1,Flat,Flat,,2022-01-08,0,1,False,41.38605,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-ascensor-moblat-televisio/161269945/d,2.178136,1095,SH BARCELONA,9202752325093,2,56
Ciutat Vella,1,Flat,Flat,,2022-01-08,0,1,False,41.38169,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-traster-ascensor-moblat/162187728/d,2.186948,1200,MONIKA RÜSCH,9202753807547,1,46
"Paseo de Gracia, Gràcia",1,Apartment,Flat,,2022-01-08,0,0,False,41.3969,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/158112524/d,2.158342,5379,Homelike,9202762567099,2,62
